Year,Month,Day,Sum of Total_Bookings,Sum of adr,Sum of revenue,Cancellation %
2015,August,29,,12128100.03,32877649.66,0.371373064
2015,August,30,,12128100.03,32877649.66,0.371373064
2015,September,1,,12128100.03,32877649.66,0.371373064
2015,September,2,,12128100.03,32877649.66,0.371373064
2015,September,3,,12128100.03,32877649.66,0.371373064
2015,September,4,,12128100.03,32877649.66,0.371373064
2015,September,5,,12128100.03,32877649.66,0.371373064
2015,September,6,,12128100.03,32877649.66,0.371373064
2015,September,7,,12128100.03,32877649.66,0.371373064
2015,September,8,,12128100.03,32877649.66,0.371373064
2015,September,9,,12128100.03,32877649.66,0.371373064
2015,September,10,,12128100.03,32877649.66,0.371373064
2015,September,11,,12128100.03,32877649.66,0.371373064
2015,September,12,,12128100.03,32877649.66,0.371373064
2015,September,13,,12128100.03,32877649.66,0.371373064
2015,September,14,,12128100.03,32877649.66,0.371373064
2015,September,15,,12128100.03,32877649.66,0.371373064
2015,September,16,,12128100.03,32877649.66,0.371373064
2015,September,17,,12128100.03,32877649.66,0.371373064
2015,September,18,,12128100.03,32877649.66,0.371373064
2015,September,19,,12128100.03,32877649.66,0.371373064
2015,September,20,,12128100.03,32877649.66,0.371373064
2015,September,21,,12128100.03,32877649.66,0.371373064
2015,September,22,,12128100.03,32877649.66,0.371373064
2015,September,23,,12128100.03,32877649.66,0.371373064
2015,September,24,,12128100.03,32877649.66,0.371373064
2015,September,25,,12128100.03,32877649.66,0.371373064
2015,September,26,,12128100.03,32877649.66,0.371373064
2015,September,27,,12128100.03,32877649.66,0.371373064
2015,September,28,,12128100.03,32877649.66,0.371373064
2015,September,29,,12128100.03,32877649.66,0.371373064
2015,October,1,,12128100.03,32877649.66,0.371373064
2015,October,2,,12128100.03,32877649.66,0.371373064
2015,October,3,,12128100.03,32877649.66,0.371373064
2015,October,4,,12128100.03,32877649.66,0.371373064
2015,October,5,,12128100.03,32877649.66,0.371373064
2015,October,6,,12128100.03,32877649.66,0.371373064
2015,October,7,,12128100.03,32877649.66,0.371373064
2015,October,8,,12128100.03,32877649.66,0.371373064
2015,October,9,,12128100.03,32877649.66,0.371373064
2015,October,10,,12128100.03,32877649.66,0.371373064
2015,October,11,,12128100.03,32877649.66,0.371373064
2015,October,12,,12128100.03,32877649.66,0.371373064
2015,October,13,,12128100.03,32877649.66,0.371373064
2015,October,14,,12128100.03,32877649.66,0.371373064
2015,October,15,,12128100.03,32877649.66,0.371373064
2015,October,16,,12128100.03,32877649.66,0.371373064
2015,October,17,,12128100.03,32877649.66,0.371373064
2015,October,18,,12128100.03,32877649.66,0.371373064
